291 2.94714e+06, 3.624e+06
292 16668.7, 0
293 35273.4, 0
294 224491, 0
295 2.96861e+06, 3.624e+06
296 16140, 0
297 34155.9, 0
298 217379, 0
299 2.98937e+06, 3.624e+06
300 15628.6, 0
301 33074.9, 0
302 210499, 0
303 3.00946e+06, 3.624e+06
304 15134, 0
305 32029.2, 0
306 203844, 0
307 3.02889e+06, 3.624e+06
308 14655.5, 0
309 31017.5, 0
310 197405, 0
311 3.04768e+06, 3.624e+06
312 14192.6, 0
313 30038.7, 0
314 191176, 0
315 3.06587e+06, 3.624e+06
316 13744.7, 0
317 29091.6, 0
318 185148, 0
319 3.08347e+06, 3.624e+06
320 13311.3, 0
321 28175, 0
322 179315, 0
323 3.1005e+06, 3.624e+06
324 12892, 0
325 43658.9, 520000
326 230338, 1.8e+06
327 3.01926e+06, 520000
328 28857, 520000
329 42285.4, 0
330 223091, 0
331 3.03828e+06, 3.624e+06
332 27949.2, 0
333 40955.9, 0
334 216077, 0
335 3.0567e+06, 3.624e+06
336 27070.4, 0
337 39669.1, 0
338 209288, 0
339 3.07452e+06, 3.624e+06
340 26219.9, 0
341 38423.3, 0
342 202716, 0
343 3.09178e+06, 3.624e+06
344 25396.5, 0
345 37217.4, 0
346 196353, 0
347 3.10848e+06, 3.624e+06
348 24599.4, 0
349 36049.9, 0
350 190194, 0
351 3.12466e+06, 3.624e+06
352 23827.7, 0
353 34919.6, 0
354 184230, 0
355 3.14031e+06, 3.624e+06
356 23080.6, 0
357 33825.2, 0
358 178456, 0
359 3.15547e+06, 3.624e+06
360 22357.3, 0
361 32765.5, 0
362 172866, 0
363 3.15812e+06, 3.24e+06
364 21656.9, 0
365 31739.4, 0
366 167452, 0
367 3.16068e+06, 3.24e+06
368 20978.7, 0
369 30745.9, 0
370 162211, 0
371 3.16317e+06, 3.24e+06
372 20322, 0
373 29783.7, 0
374 157135, 0
375 3.16557e+06, 3.24e+06
376 19686, 0
377 28852, 0
378 152219, 0
379 3.13987e+06, 2.344e+06
380 19070.2, 0
381 27949.7, 0
382 147459, 0
383 3.08996e+06, 1.544e+06
384 18473.8, 0
385 27075.9, 0
386 142848, 0
387 3.08065e+06, 2.792e+06
388 17896.2, 0
389 26229.6, 0
390 138384, 0
391 3.08563e+06, 3.24e+06
392 17336.9, 0
393 25410, 0
394 134059, 0
395 3.09045e+06, 3.24e+06
396 16795.1, 0
397 24616.2, 0
398 129871, 0
399 3.09512e+06, 3.24e+06
400 16270.5, 0
401 23847.4, 0
402 125815, 0
403 3.09965e+06, 3.24e+06
404 15762.3, 0
405 23102.7, 0
406 121886, 0
407 3.10403e+06, 3.24e+06
408 15270.1, 0
409 22381.4, 0
410 118081, 0
411 3.10828e+06, 3.24e+06
412 14793.3, 0
413 21682.8, 0
414 114395, 0
415 3.11239e+06, 3.24e+06
416 14331.6, 0
417 21006.1, 0
418 110825, 0
419 3.11637e+06, 3.24e+06
420 13884.3, 0
421 20350.6, 0
422 107367, 0
423 3.10625e+06, 2.792e+06
424 13451, 0
425 19715.7, 0
426 104017, 0
427 3.08247e+06, 2.344e+06
428 13031.4, 0
429 19100.6, 0
430 100772, 0
431 3.01151e+06, 808000
432 12624.8, 0
433 18504.9, 0
434 97628.8, 0
435 2.97772e+06, 1.928e+06
436 12231.1, 0
437 17927.7, 0
438 94584.1, 0
439 2.91005e+06, 808000
440 11849.6, 0
441 17368.7, 0
442 91634.6, 0
443 2.8924e+06, 2.344e+06
444 11480.1, 0
445 16827.1, 0
446 88777.5, 0
447 2.88927e+06, 2.792e+06
448 11122.2, 0
449 16302.5, 0
450 86009.7, 0
451 2.9002e+06, 3.24e+06
452 10775.4, 0
453 15794.3, 0
454 83328.5, 0
455 2.9108e+06, 3.24e+06
456 10439.5, 0
457 15302, 0
458 80731.1, 0
459 2.92106e+06, 3.24e+06
460 10114.1, 0
461 14825.1, 0
462 78214.9, 0
463 2.931e+06, 3.24e+06
464 9798.86, 0
465 14363, 0
466 75777.3, 0
467 2.94063e+06, 3.24e+06
468 9493.47, 0
469 13915.4, 0
470 73415.8, 0
471 2.94996e+06, 3.24e+06
472 9197.63, 0
473 13481.8, 0
474 71128.1, 0
475 2.959e+06, 3.24e+06
476 8911.02, 0
477 13061.8, 0
478 68911.8, 0
479 2.96775e+06, 3.24e+06
480 8633.36, 0
481 12654.8, 0
482 66764.8, 0
483 2.97623e+06, 3.24e+06
484 8364.38, 0
485 12260.5, 0
486 64684.7, 0
487 2.98445e+06, 3.24e+06
488 8103.78, 0
489 11878.6, 0
490 62669.6, 0
491 2.99241e+06, 3.24e+06
492 7851.33, 0
493 11508.5, 0
494 60717.3, 0
495 3.00013e+06, 3.24e+06
496 7606.74, 0
497 11150, 0
498 58826, 0
499 3.0076e+06, 3.24e+06
500 7369.79, 0
501 10802.7, 0
502 56993.6, 0
503 3.01484e+06, 3.24e+06
504 7140.23, 0
505 10466.3, 0
506 55218.4, 0
507 3.0079e+06, 2.792e+06
508 6917.84, 0
509 10140.3, 0
510 53498.6, 0
511 2.98722e+06, 2.344e+06
512 6702.37, 0
513 9824.46, 0
514 51832.4, 0
515 2.91935e+06, 808000
516 6493.63, 0
517 9518.49, 0
518 50218.1, 0
519 2.90143e+06, 2.344e+06
520 6291.39, 0
521 9222.06, 0
522 48654.2, 0
523 2.89802e+06, 2.792e+06
524 6095.46, 0
525 8934.87, 0
526 47139, 0
527 2.90867e+06, 3.24e+06
528 5905.64, 0
529 8656.63, 0
530 45671.1, 0
531 2.91899e+06, 3.24e+06
532 5721.73, 0
533 8387.06, 0
534 44248.9, 0
535 2.92898e+06, 3.24e+06
536 5543.56, 0
537 8125.9, 0
538 42871, 0
539 2.93867e+06, 3.24e+06
540 5370.94, 0
541 7872.87, 0
542 41536.1, 0
543 2.94805e+06, 3.24e+06
544 5203.69, 0
545 7627.73, 0
546 40242.7, 0
547 2.95714e+06, 3.24e+06
548 5041.66, 0
549 7390.22, 0
550 38989.7, 0
551 2.96595e+06, 3.24e+06
552 4884.68, 0
553 7160.12, 0
554 37775.7, 0
555 2.97448e+06, 3.24e+06
556 4732.59, 0
557 6937.18, 0
558 36599.5, 0
559 2.98275e+06, 3.24e+06
560 4585.24, 0
561 6721.19, 0
562 35460, 0
563 2.99076e+06, 3.24e+06
564 4442.47, 0
565 6511.93, 0
566 34356, 0
567 2.98457e+06, 2.792e+06
568 4304.16, 0
569 6309.19, 0
570 33286.3, 0
571 2.97858e+06, 2.792e+06
572 4170.15, 0
573 6112.76, 0
574 32250, 0
575 2.97277e+06, 2.792e+06
576 4040.32, 0
577 5922.45, 0
578 31245.9, 0
579 2.96714e+06, 2.792e+06
580 3914.53, 0
581 5738.06, 0
582 30273.2, 0
583 2.96169e+06, 2.792e+06
584 3792.66, 0
585 5559.42, 0
