Time	RB	Sinr
0.588 	5 	28.0163
0.589 	1 	24.8176
0.589 	0 	15.8819
0.589 	3 	16.2746
0.589 	2 	21.0459
0.589 	5 	21.1202
0.589 	4 	16.0152
0.59 	3 	20.2477
0.59 	5 	18.5439
0.59 	0 	27.4107
0.59 	1 	21.4606
0.59 	2 	32.2063
0.59 	4 	23.3083
0.591 	0 	17.1873
0.591 	1 	16.1301
0.591 	3 	13.7704
0.591 	4 	20.1708
0.591 	5 	11.9858
0.591 	2 	11.8863
0.592 	0 	18.7975
0.592 	4 	15.1866
0.592 	5 	11.7148
0.592 	3 	28.5902
0.592 	1 	15.3827
0.592 	2 	16.4017
0.593 	3 	15.6833
0.593 	5 	24.3638
0.593 	0 	10.3748
0.593 	1 	12.8698
0.593 	2 	14.3267
0.593 	4 	11.6917
0.594 	3 	16.0217
0.594 	0 	26.4006
0.594 	1 	14.0005
0.594 	2 	13.9646
0.594 	4 	16.6151
0.594 	5 	14.8008
0.595 	4 	19.9444
0.595 	3 	16.204
0.595 	0 	20.3041
0.595 	5 	20.3793
0.595 	1 	11.6609
0.595 	2 	12.679
0.596 	2 	20.5714
0.596 	3 	19.9132
0.596 	1 	25.0062
0.596 	0 	10.2814
0.596 	4 	10.5576
0.596 	5 	12.0875
0.597 	3 	15.7328
0.597 	1 	15.7167
0.597 	2 	15.0801
0.597 	5 	15.688
0.597 	0 	18.9765
0.597 	4 	15.6797
0.598 	0 	17.8664
0.598 	5 	11.4582
0.598 	4 	19.7287
0.598 	1 	15.7816
0.598 	2 	15.9732
0.598 	3 	16.5792
0.599 	3 	15.7352
0.599 	2 	14.6195
0.599 	4 	12.688
0.599 	5 	12.1065
0.599 	0 	15.7065
0.599 	1 	12.616
0.6 	0 	18.0101
0.6 	5 	11.3245
0.6 	4 	17.1305
0.6 	1 	12.043
0.6 	2 	13.4363
0.6 	3 	9.14565
0.601 	0 	18.0745
0.601 	3 	15.7229
0.601 	1 	11.2153
0.601 	2 	14.6904
0.601 	4 	10.0709
0.601 	5 	12.1019
0.602 	0 	11.5307
0.602 	1 	10.0037
0.602 	2 	10.8798
0.602 	3 	10.5461
0.602 	5 	11.1647
0.602 	4 	13.0855
0.603 	0 	18.1893
0.603 	3 	15.696
0.603 	4 	9.55392
0.603 	5 	11.1966
0.603 	1 	12.2044
0.603 	2 	13.7955
0.604 	1 	11.7048
0.604 	2 	14.7732
0.604 	0 	6.04543
0.604 	3 	7.50122
0.604 	4 	9.68168
0.604 	5 	12.0689
0.605 	0 	5.8965
0.605 	1 	1.7247
0.605 	2 	7.464
0.62 	1 	25.8141
0.62 	2 	23.3799
0.62 	3 	25.8151
0.62 	4 	26.6537
0.62 	5 	27.7697
0.62 	0 	28.1871
0.621 	1 	24.1418
0.621 	2 	24.8694
0.621 	3 	23.7709
0.621 	4 	24.5192
0.621 	5 	20.6041
0.621 	0 	28.7043
0.622 	0 	30.7282
0.622 	1 	29.7825
0.622 	3 	28.8313
0.622 	4 	28.8616
0.622 	2 	22.734
0.622 	5 	18.6512
0.623 	1 	23.3551
0.623 	3 	25.5973
0.623 	4 	25.6113
0.623 	5 	16.224
0.623 	0 	21.7132
0.623 	2 	15.113
0.624 	1 	16.5867
0.624 	2 	19.6739
0.624 	3 	12.3494
0.624 	4 	17.3514
0.624 	5 	16.2279
0.624 	0 	18.4353
0.625 	0 	16.1764
0.625 	2 	18.3793
0.625 	3 	18.3016
0.625 	5 	20.6694
0.625 	1 	14.6654
0.625 	4 	17.5094
0.626 	2 	15.5698
0.626 	1 	14.9721
0.626 	3 	16.0437
0.626 	4 	8.39768
0.626 	0 	11.5128
0.626 	5 	14.8981
0.627 	3 	14.1092
0.627 	4 	14.773
0.627 	5 	14.145
0.627 	0 	12.7086
0.627 	1 	11.9697
0.627 	2 	14.9569
0.628 	0 	13.8127
0.628 	1 	11.322
0.628 	2 	12.3966
0.628 	3 	8.55917
0.628 	4 	10.1317
0.628 	5 	10.5468
0.629 	4 	21.0784
0.629 	5 	27.9935
0.629 	0 	27.9152
0.629 	1 	24.6041
0.629 	2 	28.8902
0.629 	3 	24.8928
0.63 	2 	21.3677
0.63 	3 	23.8332
0.63 	0 	17.8849
0.63 	1 	17.6438
0.63 	4 	15.3951
0.63 	5 	15.4872
0.631 	2 	15.6594
0.631 	0 	15.7204
0.631 	1 	15.9148
0.631 	5 	17.6386
0.631 	3 	17.0014
0.631 	4 	17.2048
0.632 	0 	14.8484
0.632 	2 	12.0285
0.632 	3 	13.3959
0.632 	4 	26.0717
0.632 	5 	10.0125
0.632 	1 	24.328
0.633 	2 	18.5181
0.633 	4 	14.8564
0.633 	0 	13.7722
0.633 	1 	13.9685
0.633 	3 	15.5047
0.633 	5 	16.7151
0.634 	3 	18.9473
0.634 	1 	29.238
0.634 	2 	9.23489
0.634 	5 	15.5664
0.634 	0 	21.4753
0.634 	4 	17.0418
0.635 	0 	17.8751
0.635 	1 	16.0481
0.635 	3 	25.253
0.635 	4 	26.1219
0.635 	5 	9.53342
0.635 	2 	14.7955
0.636 	2 	19.6575
0.636 	3 	23.4698
0.636 	0 	15.9284
0.636 	1 	16.6653
0.636 	4 	14.8581
0.636 	5 	14.7766
0.637 	1 	17.1241
0.637 	2 	17.7721
0.637 	5 	21.1844
0.637 	0 	13.9072
0.637 	3 	17.3798
0.637 	4 	16.7174
0.638 	1 	16.8292
0.638 	3 	16.3767
0.638 	4 	14.3305
0.638 	0 	29.2862
0.638 	5 	15.8144
0.638 	2 	14.6641
0.639 	0 	15.0474
0.639 	3 	12.0158
0.639 	4 	11.8066
0.639 	2 	12.2751
0.639 	1 	10.6534
0.639 	5 	8.7629
0.64 	3 	19.0943
0.64 	4 	14.8193
0.64 	5 	16.7338
0.64 	0 	21.1564
0.64 	1 	20.2662
0.64 	2 	16.0018
0.641 	0 	17.3553
0.641 	1 	15.8548
0.641 	2 	15.4627
0.641 	3 	12.9617
0.641 	5 	15.9648
0.641 	4 	16.2699
0.642 	4 	11.8309
0.642 	0 	16.0436
0.642 	1 	17.3285
0.642 	3 	12.0119
0.642 	5 	16.7021
0.642 	2 	14.4231
0.643 	0 	12.8266
0.643 	4 	14.7591
0.643 	5 	15.0044
0.643 	1 	10.7554
0.643 	3 	17.6073
0.643 	2 	14.3503
0.644 	0 	15.0415
0.644 	1 	12.4346
0.644 	2 	12.0769
0.644 	4 	12.0052
0.644 	3 	14.1914
0.644 	5 	16.0854
0.645 	0 	16.9028
0.645 	1 	10.7737
0.645 	5 	16.119
0.645 	3 	17.6521
0.645 	4 	15.699
0.645 	2 	14.1883
0.646 	2 	11.9708
0.646 	4 	12.1646
0.646 	0 	16.0466
0.646 	1 	17.6583
0.646 	3 	13.871
0.646 	5 	16.5877
0.647 	0 	14.9795
0.647 	4 	14.6364
0.647 	1 	10.7707
0.647 	3 	4.85692
0.647 	5 	16.1765
0.647 	2 	14.0033
0.648 	0 	16.0272
0.648 	1 	10.7612
0.648 	4 	9.03567
0.648 	5 	16.2004
0.648 	2 	13.9016
0.648 	3 	8.36971
0.649 	0 	13.5672
0.649 	1 	10.7463
0.649 	4 	9.20082
0.649 	3 	10.7047
0.649 	5 	16.2209
0.649 	2 	13.7933
0.65 	1 	10.7261
0.65 	3 	4.38935
0.65 	4 	9.35451
0.65 	5 	5.22687
0.65 	2 	10.9116
0.65 	0 	14.1901
0.651 	0 	1.37197
0.651 	1 	10.7005
0.651 	3 	4.21715
0.651 	4 	9.49755
0.651 	5 	4.70046
0.66 	0 	25.1119
0.66 	1 	25.353
0.66 	2 	21.8988
0.66 	4 	24.0268
0.66 	3 	29.8174
0.66 	5 	27.7919
0.661 	0 	23.3586
0.661 	1 	22.6457
0.661 	2 	17.4537
0.661 	4 	19.7974
0.661 	5 	16.2114
0.661 	3 	22.2149
0.662 	1 	22.1293
0.662 	2 	25.0645
0.662 	3 	23.4803
0.662 	4 	24.1813
0.662 	5 	22.8997
0.662 	0 	28.6154
0.663 	0 	16.7267
0.663 	1 	14.986
