Time	RB	Sinr
0.551 	4 	14.8096
0.551 	5 	18.4091
0.552 	0 	19.6757
0.552 	1 	15.3611
0.552 	2 	12.2248
0.552 	3 	15.8153
0.552 	4 	14.7556
0.552 	5 	18.5025
0.553 	0 	19.6749
0.553 	1 	15.4989
0.553 	2 	11.7555
0.553 	3 	15.9239
0.553 	4 	14.6933
0.553 	5 	18.5908
0.554 	0 	19.6684
0.554 	1 	15.6278
0.554 	2 	11.2172
0.554 	3 	16.029
0.554 	4 	14.6223
0.554 	5 	18.6741
0.555 	0 	19.6562
0.555 	1 	15.7482
0.555 	2 	10.5889
0.555 	3 	16.1305
0.555 	4 	14.5424
0.555 	5 	18.7525
0.556 	0 	19.6383
0.556 	1 	15.8605
0.556 	2 	9.83877
0.556 	3 	16.2286
0.556 	4 	14.4531
0.556 	5 	18.8263
0.557 	0 	19.6148
0.557 	1 	15.9651
0.557 	2 	8.91329
0.557 	3 	16.3232
0.557 	4 	14.354
0.557 	5 	18.8956
0.558 	0 	19.5856
0.558 	1 	16.0625
0.558 	2 	7.71296
0.558 	3 	16.4145
0.558 	4 	14.2445
0.558 	5 	18.9604
0.559 	0 	19.5507
0.559 	1 	16.1529
0.559 	2 	6.01685
0.559 	3 	16.5025
0.559 	4 	14.124
0.559 	5 	19.0208
0.56 	0 	19.5099
0.56 	1 	16.2366
0.56 	2 	3.13774
0.56 	3 	16.5872
0.56 	4 	13.9918
0.56 	5 	19.077
0.561 	0 	19.4633
0.561 	1 	16.3139
0.561 	2 	-10.1417
0.561 	3 	16.6688
0.561 	4 	13.847
0.561 	5 	19.1291
0.562 	0 	19.4108
0.562 	1 	16.385
0.562 	3 	16.7471
0.562 	4 	13.6887
0.562 	5 	19.177
0.563 	0 	19.3521
0.563 	1 	16.4502
0.563 	2 	5.90932
0.563 	3 	16.8222
0.563 	4 	13.5157
0.563 	5 	19.2209
0.564 	0 	19.2873
0.564 	1 	16.5094
0.564 	2 	7.72908
0.564 	3 	16.8943
0.564 	4 	13.3266
0.564 	5 	19.2609
0.565 	0 	19.2161
0.565 	1 	16.5631
0.565 	2 	9.01764
0.565 	3 	16.9632
0.565 	4 	13.1198
0.565 	5 	19.2969
0.566 	0 	19.1383
0.566 	1 	16.6112
0.566 	2 	10.0172
0.566 	3 	17.0291
0.566 	4 	12.8933
0.566 	5 	19.329
0.567 	0 	19.0538
0.567 	1 	16.654
0.567 	2 	10.8345
0.567 	3 	17.0919
0.567 	4 	12.6447
0.567 	5 	19.3572
0.568 	0 	18.9624
0.568 	1 	16.6914
0.568 	2 	11.526
0.568 	3 	17.1516
0.568 	4 	12.371
0.568 	5 	19.3817
0.569 	0 	18.8637
0.569 	1 	16.7237
0.569 	2 	12.1251
0.569 	3 	17.2083
0.569 	4 	12.0686
0.569 	5 	19.4023
0.57 	0 	18.7574
0.57 	1 	16.7509
0.57 	2 	12.6537
0.57 	3 	17.262
0.57 	4 	11.7328
0.57 	5 	19.4192
0.571 	0 	18.6433
0.571 	1 	16.7731
0.571 	2 	13.1262
0.571 	3 	17.3127
0.571 	4 	11.3575
0.571 	5 	19.4322
0.572 	0 	18.5209
0.572 	1 	16.7902
0.572 	2 	13.5533
0.572 	3 	17.3604
0.572 	4 	10.9347
0.572 	5 	19.4415
0.573 	0 	18.3898
0.573 	1 	16.8025
0.573 	2 	13.9426
0.573 	3 	17.4051
0.573 	4 	10.4534
0.573 	5 	19.447
0.574 	0 	18.2495
0.574 	1 	16.8099
0.574 	2 	14.3
0.574 	3 	17.4467
0.574 	4 	9.89805
0.574 	5 	19.4487
0.575 	0 	18.0994
0.575 	1 	16.8124
0.575 	2 	14.6301
0.575 	3 	17.4853
0.575 	4 	9.24573
0.575 	5 	19.4466
0.576 	0 	17.9388
0.576 	1 	16.8101
0.576 	2 	14.9364
0.576 	3 	17.521
0.576 	4 	8.46026
0.576 	5 	19.4406
0.577 	0 	17.7671
0.577 	1 	16.8029
0.577 	2 	15.2218
0.577 	3 	17.5535
0.577 	4 	7.47991
0.577 	5 	19.4308
0.578 	0 	17.5832
0.578 	1 	16.7909
0.578 	2 	15.4887
0.578 	3 	17.5831
0.578 	4 	6.18546
0.578 	5 	19.4171
0.579 	0 	17.3863
0.579 	1 	16.774
0.579 	2 	15.7391
0.579 	3 	17.6095
0.579 	4 	4.29507
0.579 	5 	19.3994
0.58 	1 	16.7523
0.58 	2 	15.9747
0.58 	3 	17.6329
0.58 	4 	0.792915
0.58 	5 	19.3778
0.58 	0 	17.1751
0.581 	0 	16.9482
